symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
A,2016-04-07 00:00:00+00:00,39.47,40.1,39.25,39.89,1373839,37.8876923342,38.4924363466,37.6765118854,38.2908550092,1373839,0.0,1.0
A,2016-04-08 00:00:00+00:00,39.54,39.97,39.4,39.69,1106293,37.9548861134,38.3676478996,37.8204985551,38.098872783,1106293,0.0,1.0
A,2016-04-11 00:00:00+00:00,39.41,40.0,39.35,39.86,1049336,37.8300976664,38.3964452336,37.7725029985,38.2620576752,1049336,0.0,1.0
A,2016-04-12 00:00:00+00:00,39.75,39.825,39.34,39.47,992495,38.1564674508,38.2284607857,37.7629038872,37.8876923342,992495,0.0,1.0
A,2016-04-13 00:00:00+00:00,40.69,41.0,39.5,39.52,2495340,39.0587839138,39.3563563644,37.9164896681,37.9356878908,2495340,0.0,1.0
A,2016-04-14 00:00:00+00:00,40.78,41.08,40.53,40.86,1347753,39.1451759156,39.4331492549,38.9051981329,39.2219688061,1347753,0.0,1.0
A,2016-04-15 00:00:00+00:00,40.91,40.95,40.625,40.77,1442264,39.2699643626,39.3083608079,38.9963896903,39.1355768043,1442264,0.0,1.0
A,2016-04-18 00:00:00+00:00,41.31,41.45,40.61,40.72,1536678,39.653928815,39.7883163733,38.9819910234,39.0875812478,1536678,0.0,1.0
A,2016-04-19 00:00:00+00:00,41.4,41.74,41.13,41.18,1640774,39.7403208167,40.0666906012,39.4811448114,39.5291403679,1640774,0.0,1.0
A,2016-04-20 00:00:00+00:00,41.52,41.68,41.3,41.42,1243893,39.8555101524,40.0090959334,39.6443297036,39.7595190393,1243893,0.0,1.0
A,2016-04-21 00:00:00+00:00,41.93,41.995,41.42,41.5,1670389,40.2490737161,40.3114679396,39.7595190393,39.8363119298,1670389,0.0,1.0
A,2016-04-22 00:00:00+00:00,41.8,41.98,41.55,41.98,1396272,40.1242852691,40.2970692726,39.8843074864,40.2970692726,1396272,0.0,1.0
A,2016-04-25 00:00:00+00:00,41.63,41.86,41.53,41.71,1500449,39.9611003768,40.1818799369,39.8651092637,40.0378932673,1500449,0.0,1.0
A,2016-04-26 00:00:00+00:00,41.32,41.88,41.26,41.82,1868970,39.6635279263,40.2010781595,39.6059332584,40.1434834917,1868970,0.0,1.0
A,2016-04-27 00:00:00+00:00,41.58,41.75,41.04,41.35,1189462,39.9131048203,40.0762897125,39.3947528096,39.6923252602,1189462,0.0,1.0
A,2016-04-28 00:00:00+00:00,41.18,41.775,41.06,41.25,1549692,39.5291403679,40.1002874908,39.4139510322,39.5963341471,1549692,0.0,1.0
A,2016-04-29 00:00:00+00:00,40.92,41.04,40.26,40.92,2028329,39.2795634739,39.3947528096,38.6460221276,39.2795634739,2028329,0.0,1.0
A,2016-05-02 00:00:00+00:00,41.71,41.75,41.13,41.2,1285318,40.0378932673,40.0762897125,39.4811448114,39.5483385906,1285318,0.0,1.0
A,2016-05-03 00:00:00+00:00,41.24,41.49,40.91,41.32,1333991,39.5867350358,39.8267128185,39.2699643626,39.6635279263,1333991,0.0,1.0
A,2016-05-04 00:00:00+00:00,40.52,41.2,40.39,40.81,1602991,38.8955990216,39.5483385906,38.7708105746,39.1739732495,1602991,0.0,1.0
A,2016-05-05 00:00:00+00:00,40.96,41.03,40.51,40.64,1083956,39.3179599192,39.3851536983,38.8859999103,39.0107883573,1083956,0.0,1.0
A,2016-05-06 00:00:00+00:00,41.43,41.62,40.72,40.86,1403476,39.7691181507,39.9515012655,39.0875812478,39.2219688061,1403476,0.0,1.0
A,2016-05-09 00:00:00+00:00,41.33,41.78,41.29,41.51,1741539,39.6731270376,40.1050870465,39.6347305923,39.8459110411,1741539,0.0,1.0
A,2016-05-10 00:00:00+00:00,42.0,42.0,41.35,41.5,2094305,40.3162674952,40.3162674952,39.6923252602,39.8363119298,2094305,0.0,1.0
A,2016-05-11 00:00:00+00:00,42.46,43.2,42.12,42.19,3328961,40.7578266154,41.4681608522,40.4314568309,40.4986506101,3328961,0.0,1.0
A,2016-05-12 00:00:00+00:00,42.73,42.94,42.42,42.59,2504924,41.0170026207,41.2185839582,40.7194301702,40.8826150624,2504924,0.0,1.0
A,2016-05-13 00:00:00+00:00,42.62,42.93,42.39,42.55,2429415,40.9114123964,41.2089848469,40.6906328363,40.8442186172,2429415,0.0,1.0
A,2016-05-16 00:00:00+00:00,42.94,43.07,42.5,42.61,3979321,41.2185839582,41.3433724052,40.7962230607,40.901813285,3979321,0.0,1.0
A,2016-05-17 00:00:00+00:00,44.41,45.34,43.63,44.96,7130371,42.6296533206,43.5223706722,41.8809226385,43.1576044425,7130371,0.0,1.0
A,2016-05-18 00:00:00+00:00,44.32,44.74,43.99,44.45,3476470,42.5432613188,42.9464239937,42.2264906456,42.6680497658,3476470,0.0,1.0
A,2016-05-19 00:00:00+00:00,44.56,44.82,43.975,44.07,3660160,42.7736399902,43.0232168842,42.2120919786,42.3032835361,3660160,0.0,1.0
A,2016-05-20 00:00:00+00:00,44.89,45.22,44.69,44.86,2567586,43.0904106634,43.4071813365,42.8984284372,43.0616133294,2567586,0.0,1.0
A,2016-05-23 00:00:00+00:00,44.57,44.96,44.53,44.89,1689745,42.7832391015,43.1576044425,42.7448426563,43.0904106634,1689745,0.0,1.0
A,2016-05-24 00:00:00+00:00,45.03,45.29,44.7,44.76,3236305,43.2247982217,43.4743751157,42.9080275485,42.9656222164,3236305,0.0,1.0
A,2016-05-25 00:00:00+00:00,45.42,45.61,45.12,45.12,2352424,43.5991635627,43.7815466776,43.3111902235,43.3111902235,2352424,0.0,1.0
A,2016-05-26 00:00:00+00:00,45.51,45.6,45.2,45.58,2569626,43.6855555645,43.7719475663,43.3879831139,43.7527493436,2569626,0.0,1.0
A,2016-05-27 00:00:00+00:00,45.82,45.85,45.37,45.55,1823120,43.983128015,44.011925349,43.5511680062,43.7239520097,1823120,0.0,1.0
A,2016-05-31 00:00:00+00:00,45.89,46.0,45.575,45.79,2256373,44.0503217942,44.1559120186,43.747949788,43.9543306811,2256373,0.0,1.0
A,2016-06-01 00:00:00+00:00,45.95,46.095,45.45,45.75,1734386,44.107916462,44.247103576,43.6279608966,43.9159342359,1734386,0.0,1.0
A,2016-06-02 00:00:00+00:00,45.9,46.15,45.82,45.91,2209387,44.0599209055,44.2998986882,43.983128015,44.0695200168,2209387,0.0,1.0
A,2016-06-03 00:00:00+00:00,45.72,45.85,45.19,45.73,2395816,43.887136902,44.011925349,43.3783840026,43.8967360133,2395816,0.0,1.0
A,2016-06-06 00:00:00+00:00,45.86,46.01,45.72,45.72,2359193,44.0215244603,44.1655111299,43.887136902,43.887136902,2359193,0.0,1.0
A,2016-06-07 00:00:00+00:00,45.75,45.95,45.6099,45.81,1500872,43.9159342359,44.107916462,43.7814506865,43.9735289037,1500872,0.0,1.0
A,2016-06-08 00:00:00+00:00,46.15,46.18,45.71,45.75,1552146,44.2998986882,44.3286960221,43.8775377906,43.9159342359,1552146,0.0,1.0
A,2016-06-09 00:00:00+00:00,46.09,46.18,45.88,45.98,1204415,44.2423040204,44.3286960221,44.0407226829,44.136713796,1204415,0.0,1.0
A,2016-06-10 00:00:00+00:00,45.36,45.78,45.19,45.73,1261698,43.5415688949,43.9447315698,43.3783840026,43.8967360133,1261698,0.0,1.0
